id|text
1520858051015753732|"RT @GVDBossche: The immunological rationale against C-19 vaccination of children

#vaccine #childVaccine #covid #covid19 #covid_19 #coronavâ€¦"
1520857951430451202|"RT @mebusiness_news: UAE reports 259 Covid-19 cases, 396 recoveries
# #coronavirus #covid_19 #covid19 #corona #uae #emirates  #EarthDay #Inâ€¦"
1520857849487925248|"RT @mebusiness_news: UAE reports 212 Covid-19 cases, 333 recoveries
# #coronavirus #covid_19 #covid19 #corona #uae #emirates  #ÙŠÙˆØªÙŠØ±Ù† #Moonâ€¦"
1520857823143514113|"RT @_Free_OnlyFans: 50 RT if this video make you horny  ğŸ”¥ğŸ”¥ğŸ’¦ğŸ’¦ğŸ† @_Free_OnlyFans @mspaigejordae #paigejordae
#paigetv #onlyfans #porn #curvy #â€¦"
1520856434166181888|TIL that, Joe Biden PAID Xi Jinping 200 BILLION USD in 2020 to fabricate the coronavirus in his unused meth-lab. #spreadawareness #covid #corona #pandemic #leaks #biden #usa #china #joebiden #notconspiracy #news
1520855435061841920|"RT @_Free_OnlyFans: What do u like #anastasiadoll or #avakoxxx ?? ğŸ”ğŸ”ğŸ”ğŸ”ğŸ’¦ğŸ”¥ğŸ‘ Please don't forget to following @_Free_OnlyFans 
#onlyfans #pornâ€¦"
1520854871146385408|"Yesterday, on May 1, 34 people died and 26,960 people were infected all over #Japan due to the new #corona infection.
https://t.co/dlLqSqMZMr https://t.co/Tw6pZGuRDw"
1520853459397976071|"@DrEliDavid It was from the beginning an #IQtest.

There was no #pandemic
There is no deadly virus.
#Corona does not exist.
#Coronavirus is a collective name.
Hardly anyone died of #covid19, only very old and with an illness.
Healthy people do not transmit a disease."
1520852772886917123|"#Corona Info for #USA:
New Cases: 3929
Today Recovery: 1094
Today Deaths: 4
Total Active Cases: 1364006
Total Cases: 83070836
Total Recovery: 80685993
Total Deaths: 1020837
#Coronavirus  #Covid19 #Covid_19 #SARSCoV2 #StaySafe 

Source: 'CoronaTrackerNepal_bot' #Telegram."
1520852733154136065|RT @AdarshP82860012: @sentechtube @ChouhanShivraj @GopilKotwal @OfficeofSSC @CMMadhyaPradesh @PMOIndia @narendramodi @khushruzzaman @kuzzarâ€¦
